yr,month,min,sec,year,seconds
1913,5,4,14.4,1913.41666666667,254.4
1915,7,4,12.6,1915.58333333333,252.6
1923,8,4,10.4,1923.66666666667,250.4
1931,10,4,9.2,1931.83333333333,249.2
1933,7,4,7.6,1933.58333333333,247.6
1934,6,4,6.8,1934.5,246.8
1937,8,4,6.4,1937.66666666667,246.4
1942,7,4,6.2,1942.58333333333,246.2
1942,7,4,6.2,1942.58333333333,246.2
1942,9,4,4.6,1942.75,244.6
1943,7,4,2.6,1943.58333333333,242.6
1944,7,4,1.6,1944.58333333333,241.6
1945,7,4,1.4,1945.58333333333,241.4
1954,5,3,59.4,1954.41666666667,239.4
1954,6,3,58,1954.5,238
1957,7,3,57.2,1957.58333333333,237.2
1958,8,3,54.5,1958.66666666667,234.5
1962,1,3,54.4,1962.08333333333,234.4
1964,11,3,54.1,1964.91666666667,234.1
1965,6,3,53.6,1965.5,233.6
1966,7,3,51.3,1966.58333333333,231.3
1967,6,3,51.1,1967.5,231.1
1975,5,3,51,1975.41666666667,231
1975,8,3,49.4,1975.66666666667,229.4
1979,7,3,49,1979.58333333333,229
1980,7,3,48.8,1980.58333333333,228.8
1981,8,3,48.53,1981.66666666667,228.53
1981,8.2,3,48.4,1981.68333333333,228.4
1981,8.3,3,47.33,1981.69166666667,227.33
1985,7,3,46.32,1985.58333333333,226.32
1993,9,3,44.39,1993.75,224.39
1999,7,3,43.13,1999.58333333333,223.13
